,food_entity,disease_entity,sentence,disease_doid,is_cause,is_treat
311,honeybush tea,hyperglycemia,These results imply that the sequential extracts of honeybush tea (particularly the aqueous and ethyl acetate extracts) may not only exhibit antioxidant potentials but also mediate anti-hyperglycemia activities by inhibiting lipid and carbohydrate digestion.,DOID:4195,0.0,1.0
312,very-low-cho diets,weight loss,"Historically, low-carbohydrate (CHO) and very-low-CHO diets have been used for weight loss.",,1.0,0.0
313,fava beans,haemotoxicity,"Fava beans (FBs) have long been used as food, and their principal disadvantage is derived from their haemotoxicity.",,1.0,0.0
314,raspberries,pain,"In this context, commonly available fruits, such as blueberries, raspberries and strawberries, and pomegranates have shown promising results in reducing pain and inflammation in experimental models and in human clinical studies of arthritis.",,0.0,1.0
315,eicosapentaenoic acid,metabolic disorders,"Dietary n-3 fatty acids, especially of marine origin, eicosapentaenoic acid (20:5n-3) and docosahexaenoic acid (22:6n-3), have always been lauded for their profound effects on regulating the risk factors for major metabolic disorders.",,0.0,1.0
316,mustard,allergies,"Peanuts and nuts cause a great part of allergies in the United States; in Spain and Portugal are commonly due to fish, milk; in Italy seafood and mustard in France.",,1.0,0.0
317,peanut,anaphylaxis,Peanut allergy affects 3% of Australian children and has a higher risk of anaphylaxis than most food allergies.,,1.0,0.0
318,extra virgin olive oil,myocardial infarction,"In this context, extra virgin olive oil (EVOO), the most representative component of this diet, seems to be relevant in lowering the incidence of cardiovascular events, including myocardial infarction and stroke.",DOID:5844,0.0,1.0
319,beer,inflammation,"We previously demonstrated that the consumption of iso-ÃÂÃÂÃÂÃÂ±-acids (IAA), the hop-derived bitter compounds in beer, prevents inflammation and Alzheimer's disease pathology in model mice.",,0.0,1.0
320,allium,cancers,Many epidemiological studies support the protective role of garlic and related allium foods against the development of certain human cancers.,DOID:162,0.0,1.0
321,ginger,alzheimer's disease,Ginger has been reportedly used for the management or treatment of Alzheimer's disease in folklore medicine.,DOID:10652,0.0,1.0
322,extra-virgin olive oil,inflammatory diseases,Current experimental studies support a beneficial role of extra-virgin olive oil (EVOO) in several inflammatory diseases.,,0.0,1.0
323,pistachio,allergic reactions,"Pistachio and cashew nut, which belong to the same botanical family, are tree nuts that induce serious allergic reactions.",,1.0,0.0
324,beer,chronic diseases,"In beer, the variety and concentration of bioactive compounds in the non-alcoholic fraction suggests that its consumption at moderate levels may not only be harmless but could also positively contribute to an improvement of certain physiological states and be also useful in the prevention of different chronic diseases.",,0.0,1.0
325,cabbage,migraine attacks,"Migraine attacks have been produced most frequently by cow milk (in 10 out of 17 patients), cabbage, flour and eggs in 5 patients, preservatives, cottage and Swiss cheese, porcine meat in 4 patients, colorants and chocolate in 3 patients, beef, strawberries, lemons and butter in 2 patients.",,1.0,0.0
326,alcohol,obesity,"The association of obesity, physical inactivity and alcohol with elevated blood pressure (BP) is firmly established.",DOID:9970,0.0,0.0
327,pistachio,allergic,"Pistachio and cashew contain allergenic proteins, which causes them to be removed from the diet of allergic people.",,1.0,0.0
328,glycemic load (gl) diet,cardiovascular mortality,Recent epidemiologic studies have found that a high glycemic index (GI) and glycemic load (GL) diet are associated with a higher risk for metabolic complications and cardiovascular mortality.,,1.0,0.0
329,poor nutrition,infections,"This is a particular priority in resource-constrained settings where the prevalence of iron deficiency, poor nutrition, infections and poor birth outcomes are high.",,0.0,0.0
330,lemon,alzheimer's disease,"Therefore, this study presents the neuroprotective potentials of lemon and tangerine peels-derived EOs, and the possibility of their exploration as neuroactive agents and alternative in the management of Alzheimer's disease (AD).",DOID:10652,0.0,1.0
331,maslinic acid,hyperglycaemia,"Bredemolic acid (BA), an isomer of maslinic acid, has been reported to ameliorate the intermediate hyperglycaemia found in prediabetes; however, the effects of this triterpene on cardiovascular function have not yet been determined.",,0.0,1.0
332,yogurt,cardiovascular disease,"The consumption of dairy, including milk, cheese and yogurt, has been associated with better quality of diet and reduced risk of cardiovascular disease, the leading cause of death globally.",,0.0,1.0
333,milk,lactation insufficiency,"Lactation insufficiency is variously defined and includes the inability to produce milk, not producing enough milk to exclusively meet infant growth requirements, and pathological interruption of lactation (e.g., mastitis).",,0.0,0.0
334,"salt (sodium chloride, nacl)",moisture loss,"Salt (sodium chloride, NaCl) is commonly used in ready-to-eat (RTE) meat products such as biltong, a South African style dried beef product for flavor, enhanced moisture loss, and reduction of microbial growth.",,1.0,0.0
335,fruits,neurodegenerative diseases,"Epidemiological studies have shown that consumption of diets rich in antioxidant and anti-inflammatory agents, such as those found in fruits and vegetables, may lower the risk of developing age-related neurodegenerative diseases such as Parkinson's disease and Alzheimer's disease.",DOID:1289,0.0,1.0
336,eggs,atopic disease,"There is no evidence that delaying the introduction of allergenic foods, including peanuts, eggs, and fish, beyond 4 to 6 months prevents atopic disease.",,0.0,0.0
337,chicken,infectious bronchitis virus,"Infectious bronchitis virus (IBV), a gamma-coronavirus, causes infectious bronchitis (IB), a major respiratory disease of chicken.",,0.0,0.0
338,cinnamomum,dyspepsia,"Cinnamomum cassia (C. cassia, Lauraceae family), commonly used for treating dyspepsia, gastritis, blood circulation, and inflammatory diseases is considered as one of the 50 fundamental herbs in traditional Chinese medicine.",,0.0,1.0
339,milk thistle extracts ,liver cirrhosis,"Milk thistle extracts have been used as medicinal herbs in the treatment of liver cirrhosis, chronic hepatitis (liver inflammation), and gallbladder disorders.",DOID:5082,0.0,1.0
340,garlic,hemolytic anemia,"We recently identified sodium n-propyl thiosulfate (NPTS) and sodium 2-propenyl thiosulfate (2PTS) from boiled onion and garlic, respectively, as causative agents of hemolytic anemia in dogs.",DOID:583,1.0,0.0
341,breeder chickens,fadv-4 infection,"The results showed that the FAdV-4 infection rate was 65.2% (443/679), and the rate in breeder ducks was almost two-fold higher than that in breeder chickens (68.57% vs. 34.30%).",,0.0,0.0
342,olive oil,stroke,"A Cretan Mediterranean diet, high in olive oil, whole grains, fruits, vegetables and legumes, and low in cholesterol and saturated fat, can reduce stroke by 40% or more in high-risk patients.",DOID:6713,0.0,1.0
343,sugar,osteoporosis,"However, the other ubiquitous white crystal, sugar, may lead to osteoporosis by increasing inflammation, hyperinsulinemia, increased renal acid load, reduced calcium intake, and increased urinary calcium excretion.",DOID:11476,1.0,0.0
344,ice,pagophagia,"Pagophagia (compulsive ice chewing) is a particular form of pica that is characterized by ingestion of ice, freezer frost, or iced drinks.",,0.0,0.0
345,ginger,human ailments,"Besides its food-additive functions, ginger has a long history of medicinal use for the treatment of a variety of human ailments including common colds, fever, rheumatic disorders, gastrointestinal complications, motion sickness, diabetes, cancer, etc.",,0.0,1.0
346,calorie-dense diet,obesity,Calorie-dense diet is a main driver of the global epidemics of obesity and type 2 diabetes (T2DM).,DOID:9970,1.0,0.0
347,citrus fruits,metabolic syndrome,Citrus fruits are known for their beneficial health effects associated with the prevention of metabolic syndrome/type 2 diabetes that is mainly attributed to flavonoids.,DOID:0014667,0.0,1.0
348,psidium guajava,cancer,"Psidium Guajava is a promising functional food against cancer, owing to a variety of bioactive compounds.",,0.0,1.0
349,tea,coronary disease,"Flavonoid antioxidants with 2- or 3-phenylchroman structures such as quercetin, kaempferol, myricetin, apigenin, and luteolin, constituents of fruits, vegetables, tea, and wine, which may reduce coronary disease and cancer, are described.",DOID:3393,0.0,1.0
350,food rich in saturated fat,chd,"The basis of this recommendation is the 'diet-heart hypothesis', which postulates that consumption of food rich in saturated fat increases serum cholesterol levels, which increases risk of CHD.",,1.0,0.0
351,beer,cognitive impairment,"Previously, we demonstrated that iso-ÃÂÃÂÃÂÃÂ±-acids, the hop-derived bitter components in beer, prevent cognitive impairment in an Alzheimer's disease mouse model.",,0.0,1.0
352,drugs,cutis laxa,"In most cases, acquired cutis laxa is associated with neoplasms, drugs, and autoimmune diseases.",DOID:3144,1.0,0.0
353,alcohol,hepatitis b,"Risk factors include hepatitis B and C virus, cirrhosis, aflatoxin-contaminated food, alcohol, and diabetes.",DOID:2043,0.0,0.0
354,antiepileptic drugs,epilepsy,Adults aged 50 years and older with epilepsy face an increased risk of fracture associated both with age and with the use of antiepileptic drugs.,DOID:1826,1.0,0.0
355,docosahexaenoic acid,tumour,Docosahexaenoic acid (DHA) has been shown to reduce tumour growth in preclinical models when combined with chemotherapy and is known to beneficially modulate systemic immune function.,,0.0,1.0
356,gastrointestinal ( gi ) protective drugs,ra,Patients with RA commonly use gastrointestinal (GI) protective drugs for treatment and prevention of drug-associated GI injuries.,,0.0,1.0
357,meat protein,heart disease,Meat protein is associated with an increase in risk of heart disease.,DOID:114,1.0,0.0
358,protein-containing dust,respiratory diseases,Influence of protein-containing dust on the workers results in respiratory diseases.,,1.0,0.0
359,sucrose,hyperuricaemia,"In addition to sucrose and high fructose corn syrup, fresh fruits also contain fructose, suggesting that patients with hyperuricaemia or gout might also avoid fresh fruit.",,1.0,0.0
360,olive oil,ckd,"Plant nutrients and plant-based diets could have beneficial effects in patients with CKD: increased fibre intake shifts the gut microbiota towards reduced production of uraemic toxins; plant fats, particularly olive oil, have anti-atherogenic effects; plant anions might mitigate metabolic acidosis and slow CKD progression; and as plant phosphorus has a lower bioavailability than animal phosphorus, plant-based diets might enable better control of hyperphosphataemia.",,0.0,1.0
361,red yeast rice,coronary heart disease,"Xuezhikang (XZK), an extract derived from red yeast rice, is commonly employed as a traditional Chinese medicine for treating coronary heart disease, improving endothelial function, decreasing blood lipids and preventing other cardiovascular events both within China and globally.",DOID:3393,0.0,1.0
362,refined sugars,obesity,"Age, female sex, obesity, rapid weight loss, consumption of refined sugars, saturated fat, iron deficiency, vitamin D and low intake of fiber and vitamin C are factors associated with an increased risk of cholelithiasis.",DOID:9970,0.0,0.0
363,garlic,carcinogenesis,"The health benefits of garlic, including inhibition of carcinogenesis, are supported by several epidemiologic and laboratory findings.",,0.0,1.0
364,additives to food and water,cancer,"Environmental pollutants, such as pesticides, herbicides, additives to food and water, and electromagnetic fields threaten public health by promotion of cancer, heart disease and chronic diseases of aging.",,0.0,1.0
365,diets with high fat and carbohydrate content ,obesity,"Among other factors, diets with high fat and carbohydrate content have been implicated in obesity.",DOID:9970,1.0,0.0
366,garlic,"stomach, colorectal, breast cancer","Evidence supports the protective effects of garlic in stomach, colorectal, breast cancer in humans.",,0.0,1.0
367,milk,ovarian carcinoma,The intake of milk and milk products could increase the risk of ovarian carcinoma.,DOID:4001,1.0,0.0
368,alcohol,drug abuse,"The most frequent reasons for iatrogenic incapacity to drive are unreported or untreated cases of alcohol and drug abuse, medication which impairs driving competence, and sleep-apnea syndrome.",,0.0,0.0
369,poor diet,obesity,"Poor diet is responsible for more deaths worldwide than any other risk factor, and is a leading cause of obesity, type 2 diabetes, and cardiovascular disease (CVD).",DOID:9970,1.0,0.0
370,cow's milk protein,allergy,"Cow's milk protein allergy, which occurs in approximately 5-10% of the population of infants and children, has become an important public food safety problem.",,1.0,0.0
371,traditional italian diet,myocardial infarction,"Between 1935 and 1965, the Italian-American inhabitants of Roseto (Pennsylvania, USA) observed a traditional Italian diet and maintained half the mortality rates from myocardial infarction compared with neighboring cities.",DOID:5844,0.0,1.0
372,coffee,hypertension,"Respondents with overweight (AOR 1.44, 95%CI: 1.02-2.02), khat chewing (AOR3.31, 95%CI: 1.94-5.64), low fruit and/or vegetable consumption (AOR 1.27, 95%CI: 1.05-1.53) and those who do not use coffee and tea (AOR 1.52, 95%CI: 1.03-2.24) had significantly higher likelihood of hypertension.",DOID:10763,0.0,1.0
373,brassica rapa,hypoxia,"The Tibetan turnip (Brassica rapa L.) has a wide array of medicine properties including heat-clearing, detoxifying and anti-hypoxia as listed in the famous centuries-old Tibetan medicine classic ""The Four Medical Tantras"".",,0.0,1.0
374,beans,chronic diseases,Beans can contribute to a food-first approach to healthy aging as they are nutrient-dense and can reduce the risk of chronic diseases.,,0.0,1.0
375,olive oil (,ad,A growing body of evidence including our studies supports a protective effect of oleocanthal (OC) and extra-virgin olive oil (EVOO) at early AD stages before the onset of pathology.,,0.0,1.0
376,red wine,diabetes,"Tea, red wine and cocoa are good sources of flavanols and these highly consumed foods might contribute to prevent diabetes.",DOID:9351,0.0,1.0
377,docosahexaenoic acid,"cardiovascular, neurodegenerative","Omega-3 fatty acids (ÃÂÃÂÃÂÃÂ-3FAs) such as Docosahexaenoic acid (DHA) and Eicosapentanoic acid (EPA), are active ingredient of fish oil, which have larger health benefits against various diseases including cardiovascular, neurodegenerative, cancers and bone diseases.",,0.0,1.0
378,ginger,obesity,Ginger exerts protective effects on obesity and its complications.,DOID:9970,0.0,1.0
379,food consumption,body weight gain,"Body weight gain, food consumption, and efficiency of food utilization were significantly reduced in males in the 0.1% dose group and animals of both sexes in this group had changes in hematology, clinical chemistry, and urinalysis parameters indicative of renal damage.",,0.0,0.0
380,almond,heart disease,"Almond kernels contain phytochemicals with positive health effects in relation to heart disease, diabetes and obesity.",DOID:114,0.0,1.0
381,guava tea,diabetic,"Polyphenols from coffee, guava tea, whortleberry, olive oil, propolis, chocolate, red wine, grape seed, and cocoa have been reported to show anti-diabetic effects in T2D patients through increasing glucose metabolism, improving vascular function as well as reducing insulin resistance and HbA1c level.",,0.0,1.0
382,cocoa,cvd,"The consumption of natural polyphenol-rich foods, and cocoa in particular, has been related to a reduced risk of CVD, including coronary heart disease and stroke.",,0.0,1.0
383,beer,brain disorders,"Beer, as part of this protective diet, contains compounds such as silicon and hops that could play a major role in preventing brain disorders.",,0.0,1.0
384,steroids,gastrointestinal perforation,"The causes of gastrointestinal perforation with collagen diseases have been reported to be functional gastrointestinal disorders with collagen diseases like amyloidosis, gastrointestinal infections in immunocompromised patients, and side effects of medication, such as steroids or NSAIDs and MTX.",,1.0,0.0
385,iron rich foods,anaemia,"Improving overall household living conditions, increasing maternal education, delaying childbearing and introducing iron rich foods at six months of age may reduce the likelihood of anaemia in toddlerhood.",DOID:2355,0.0,1.0
386,chicken protein hydrolysates ( cphs ),inflammation,Chicken protein hydrolysates (CPHs) generated from rest raw materials through enzymatic hydrolysis using Corolase PP or Alcalase were shown to reduce inflammation and stimulate hepatic mitochondrial fatty acid oxidation in high-fat-fed mice.,,0.0,1.0
387,mediterranean diet,inflammation,A Mediterranean diet (MeDi) style has been reported as associated with a lower degree of inflammation biomarkers and with a protective role on cardiovascular and cerebrovascular events.,,0.0,1.0
388,ginger,alzheimer disease,"Components of ginger (Zingiber officinale) extracts have been described as potential new drug candidates against Alzheimer disease (AD), able to interact with several molecular targets related to the AD treatment.",,0.0,1.0
389,peanut,allergy,"Peanut allergy that affects 1.4-4.5% of North American children, has increased in prevalence in the past 20 years, is often diagnosed early in life, and outgrown in fewer than 20-32% of children by age 6.",,1.0,0.0
390,selective nutrition,malnutrition,Selective nutrition therapy for ASD and brain function shows improvement in behavioral changes and reduction in malnutrition seemingly associated with the allergies or food intolerances to gluten.,,0.0,1.0
391,flour,diabetes,"Alloxan (ALX), a food-additive, intaken daily through flour causes diabetes and genotoxicity by inducing chromosomal-aberration and DNA-damage.",DOID:9351,1.0,0.0
392,garlic intake,cancer,Numerous animal and in vitro studies provided evidence for a relation between garlic intake and cancer risk reduction.,,0.0,1.0
393,cabbage,allergic,"Quercetin is the major polyphenolic flavonoid found in food products, including berries, apples, cauliflower, tea, cabbage, nuts, and onions that have traditionally been treated as anticancer and antiviral, and used for the treatment of allergic, metabolic, and inflammatory disorders, eye and cardiovascular diseases, and arthritis.",,0.0,1.0
394,wheat flour,occupational respiratory allergies,Exposure to wheat flour and guar gum is a well-known cause of occupational respiratory allergies among workers in the food processing industry.,,1.0,0.0
395,wine,cognitive decline,Some studies have shown a potential role for grapes or wine in slowing cognitive decline and other effects of aging.,,0.0,1.0
396,fruits,allergy,Severe allergy to fruits mediated by a 7 kDa allergen belonging to the gibberellin-regulated protein (GRP) family is known to be associated with Cupressaceae pollinosis.,,1.0,0.0
397,myrciaria cauliflora (jaboticaba),respiratory diseases,"Myrciaria cauliflora (jaboticaba) is an edible fruit common in Brazil that has been used for treating respiratory diseases, including chronic tonsillitis and asthma.",,0.0,1.0
398,honey-bee pollen mix (hbm),asthma,"Honey-bee pollen mix (HBM) formulation is claimed to be effective for the treatment of asthma, bronchitis, cancers, peptic ulcers, colitis, various types of infections including hepatitis B, and rheumatism by the herb dealers in northeast Turkey.",DOID:2841,0.0,1.0
399,milk,mastitis,"Staphylococcus aureus is the leading cause of clinical mastitis and is associated with persistent subclinical infections in ewes, significantly compromising the quality and quantity of milk productions.",DOID:10690,0.0,0.0
400,high-salt ( hs ) diets,hypertension,High-salt (HS) diets are associated with hypertension and cardiac remodelling.,DOID:10763,1.0,0.0
401,extra-virgin olive oil,cardiovascular and neurodegenerative diseases,"The phenolic compounds of extra-virgin olive oil can act at various levels to protect individuals against cardiovascular and neurodegenerative diseases, cancer, and osteoporosis, among others.",,0.0,1.0
402,olive oil,rheumatoid arthritis,"Although several studies showed that risk of rheumatoid arthritis (RA) is inversely associated with consumption of n-3 fatty acids, the one study showing that olive oil may have a protective role has not yet been confirmed.",DOID:7148,0.0,0.0
403,mediterranean diet,asthma,"Evidence for associations between Mediterranean diet during pregnancy and childhood asthma, allergy and related outcomes is conflicting.",DOID:2841,0.0,0.0
404,arctic charr (salvelinus alpinus),skin redness,"Using Arctic charr (Salvelinus alpinus) as model species, we hypothesized that skin redness and allocation of carotenoids between skin and muscle (redness ratio) will be positively and negatively associated with parasites using the fish as an intermediate and final host, respectively.",,0.0,0.0
405,annona muricata,neurological syndrome,"(iii) evaluate to what extent a candidate aetiological factor, the mitochondrial complex I inhibitor annonacin contained in the fruit and leaves of the tropical plant Annona muricata (soursop) plays a role in the neurological syndrome.",,0.0,0.0
406,garlic,colon cancer,"The results indicate that grape, soybean, green tea, garlic, olive, and pomegranate are the most effective plants against colon cancer.",DOID:219,0.0,1.0
407,shrimp,infectious salmon anaemia,"Many viral pathogens of fish (e.g. infectious salmon anaemia, viral haemorrhagic septicaemia) and shrimp (e.g. white spot syndrome virus) affect a large proportion of the global production of key susceptible species.",,0.0,0.0
408,morus alba,stroke,Mulberry (Morus alba L.) leaves are widely used as herbal tea to prevent heat stroke.,DOID:6713,0.0,1.0
409,virgin olive oil,osteoporotic fractures,"Virgin olive oil, a key component of the Mediterranean Diet (MDiet), with recognised beneficial effects on metabolism and cardiovascular health, may decrease the risk of osteoporotic fractures.",,0.0,1.0
410,gluten-free diet,gastrointestinal symptoms,"New evidence shows that a gluten-free diet may be beneficial for some patients with gastrointestinal symptoms, such as those symptoms commonly found in patients with IBS.",,0.0,1.0
411,regular-fish oil,bone loss,"The preventive effect of high-dose (9%) regular-fish oil (FO) against bone loss during aging has been demonstrated, but the effects of a low-dose (1%-4%) of a highly purified concentrated FO (CFO) has not been elucidated.",,0.0,1.0
412,meat,dyslipidemia,"Higher scores of the meat-convenience dietary pattern (high intake of deep-fried and processed food, sauces, sugar-added beverages, meat and organ meats, instant noodles, rice or flour cooked in oil, and eggs) had no association with components of dyslipidemia and abnormal FPG.",DOID:3146,0.0,0.0
413,anti-inflammatory drugs,ad,"Thus, anti-inflammatory drugs in this asymptomatic initial phase could slow down AD progression, provided they enter the brain.",,0.0,1.0
414,quercus liaotungensis koidz,diarrhea,"Acorn obtained from the Quercus liaotungensis Koidz tree is consumed as a Chinese folk medicine for the treatment of diarrhea, abdominal pain, and inflammation, also having strong antioxidant activity and have been utilized for the treatment of diabetes in China.",DOID:13250,0.0,1.0
415,wheat flour,rhinitis,Sensitization to inhaled wheat flour may lead to occupational rhinitis and/or asthma.,DOID:4483,1.0,0.0
416,allium hirtifolium boiss ,dementia,Allium hirtifolium Boiss and Astragalus hamosus L. are mentioned in Iranian traditional medicine documentation as therapy for a kind of dementia with the features and symptoms similar to those of Alzheimer's disease (AD).,DOID:1307,0.0,1.0
417,olive oil,cognitive impairment,"The Mediterranean diet (rich in fruits, vegetables, legumes, and olive oil, with regular fish consumption and low consumption of dairy products and meats) has been shown to reduce the incidence of mild cognitive impairment (MCI) and, probably, the conversion of MCI to dementia.",,0.0,1.0
418,fruit,cardiovascular diseases,Fruit and vegetable intake has been reported as one of the significant protective factors against the development of cardiovascular diseases (CVD).,,0.0,1.0
419,caffeic acid,alzheimer's disease,"Caffeic acid (CA) has shown neuroprotection in Alzheimer's disease or cerebral ischaemia; however, it is unclear whether CA confers neuroprotection in ÃÂÃÂÃÂÃÂ±-synuclein-induced PD models.",DOID:10652,0.0,1.0
420,cicer arietinum,allergy,Chickpea (Cicer arietinum) allergy has frequently been reported particularly in Spain and India.,,1.0,0.0
421,black rice,hypoglycemic,Cyanidin-3-glucoside (C3G) from black rice was reported to have hypoglycemic effects and an anti-osteoporosis effect in diabetic rats.,,1.0,0.0
422,nuts,chronic diseases,Nuts have an appreciable antioxidant load and there is evidence of their positive effects on several chronic diseases incidence and death rates.,,0.0,1.0
423,flour,allergic reactions,Allergic reactions to wheat may be caused by ingestion of wheat containing foods or inhalation of flour (Bakers asthma).,,1.0,0.0
424,mainstream cigarette smoke,cardiovascular toxicity,"Although crotonaldehyde (CR) is an abundant ÃÂÃÂÃÂÃÂ±,ÃÂÃÂÃÂÃÂ²-unsaturated aldehyde in mainstream cigarette smoke (MCS), the cardiovascular toxicity of inhaled CR is largely unexplored.",,0.0,0.0
425,ultra-processed foods,cardiovascular disease,A high percentage of total calories from ultra-processed foods has been associated with several cardiovascular disease risk factors.,,1.0,0.0
426,fruit juice,hyperuricaemia,"In this review, we discuss clinical studies evaluating the effect of fruit and fruit juice intake on hyperuricaemia and gout, and propose potential mechanisms for how fruit may influence urate levels.",,0.0,0.0
427,opioid drugs,pain,"Opioid drugs are widely used to treat chronic pain, but their misuse can lead to tolerance, dependence, and addiction and have created a significant public health problem.",,0.0,1.0
428,unbalanced diet,neurodegenerative diseases,"In the last decade, several theories investigating the causes of neurodegenerative diseases have been formulated and a condition or risk factor that can contribute is described by the gut-brain axis hypothesis: stress, unbalanced diet, and drugs impact altering microbiota composition which contributes to dysbiosis.",DOID:1289,1.0,0.0
429,tropical fruits,metabolic syndrome,"Tropical foods such as seaweeds and tropical fruits including indigenous fruits such as Davidson's plums are effective in reducing these signs of metabolic syndrome in rats, as well as reducing degeneration of bone cartilage and altering gut microbiome.",DOID:0014667,0.0,1.0
430,flour,respiratory symptoms,Flour mill workers are at high risk of developing respiratory symptoms due to exposure to flour dust in their working environment.,,1.0,0.0
431,rice,ad,Components of the germ layer and bran of Brown rice (BR) help maintain good health and prevent AD.,,0.0,1.0
432,diacetyl-containing butter flavor,bronchiolitis obliterans,Diacetyl-containing butter flavor was identified as the cause of an outbreak of bronchiolitis obliterans (BO) and other lung diseases in popcorn-plant workers.,DOID:2799,1.0,0.0
433,farmed atlantic salmon,heart and skeletal muscle inflammation,Piscine orthoreovirus (PRV-1) can cause heart and skeletal muscle inflammation (HSMI) in farmed Atlantic salmon (,,0.0,0.0
434,salt,cystic fibrosis,"Xylitol, a potential cystic fibrosis treatment, lowers the salt concentration of airway surface liquid and enhances innate immunity of human airways.",DOID:1485,0.0,0.0
435,cocoa plant,insulin resistance,"Flavanoids in the cocoa plant may ameliorate insulin resistance by improving endothelial function, altering glucose metabolism, and reducing oxidative stress.",,0.0,1.0
436,green tea from camellia sinensis,memory deficits,"Green tea from Camellia sinensis plays a neuroprotective role in different neurodegenerative conditions, such as memory deficits in Alzheimer disease (AD).",,0.0,1.0
437,malnutrition,dbm,This has led to a double burden of malnutrition (DBM).,,0.0,0.0
438,cocoa,diabetes,Cocoa is a rich source of dietary polyphenols with demonstrated cardioprotective effects in adults without diabetes.,DOID:9351,0.0,0.0
439,ascorbic acids,toxicity,"Antioxidants such as phlorotannins, ascorbic acids, tocopherols, carotenoids from red algae showed toxicity on some cancer cells without side effects.",,1.0,0.0
440,curcuma longa,pain,"Turmeric (Curcuma longa) has traditionally been used to treat pain, fever, allergic and inflammatory diseases such as bronchitis, arthritis, and dermatitis.",,0.0,1.0
441,healthy diets,type 2 diabetes mellitus,It is hypothesized that decreased advanced glycation end products (AGEs) levels could affect type 2 diabetes mellitus (T2DM) remission in newly diagnosed patients through the consumption of two healthy diets.,DOID:9352,0.0,1.0
442,citrus unshiu,fatigue,"Citrus unshiu (Rutaceae) is an easy-peeling citrus fruit, which has been used as a traditional Korean medicine for improving skin elasticity, relieving fatigue and cough, and preventing bronchitis, flu, and various cancers.",,0.0,1.0
443,lemon seed,ige-mediated hypersensitivity,We report a case of IgE-mediated hypersensitivity to lemon seed.,DOID:1205,0.0,0.0
444,fish oil,cd,Fish oil rich in eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA) reduces disease activity in patients with CD with raised laboratory markers of inflammation and in healthy subjects alters PBMC function.,,0.0,1.0
445,milk,atherosclerosis,Milk is often seen as a potential promotor of atherosclerosis and coronary heart disease because it is a source of cholesterol and saturated fatty acids.,DOID:1936,1.0,0.0
446,tofu,cognitive decline,"Cell culture studies suggest that phytoestrogens, abundant in soy products such as tempe and tofu, could protect against cognitive decline.",,0.0,1.0
447,zinc,anemia,"In the Gaza Strip, where ÃÂÃÂ¢ÃÂÃÂÃÂÃÂ¼1.4 million Palestinians reside, there are high prevalences of anemia and multiple micronutrient deficiencies (MNDs), including those of iron, zinc, vitamins A, B",DOID:2355,0.0,0.0
448,soluble oxalate,kidney stone formers,Soluble oxalate in foods is major concern for kidney stone formers due to its tendency to increase urinary oxalate concentration.,,0.0,0.0
449,fruits,cvds,Accumulating epidemiological studies have indicated that consuming fruits was inversely related to the risk of CVDs.,,0.0,1.0
450,extra-virgin olive oil,human diseases,"Oleocanthal (OLC) is a phenolic component of extra-virgin olive oil, recently supposed to be involved in the modulation of some human diseases, such as inflammation and Alzheimer.",,0.0,1.0
451,soy foods,cardiovascular disease,"Epidemiological investigations have shown that consumption of soybeans or soy foods reduces the risk of the development of cardiovascular disease, cancer and osteoporosis.",,0.0,1.0
452,cheese,sarcopenia,"The consumption of dairy products by older people may reduce the risk of frailty, especially with high consumption of low-fat milk and yogurt, and may also reduce the risk of sarcopenia by improving skeletal muscle mass through the addition of nutrient-rich dairy proteins (ricotta cheese) to the habitual diet.",,0.0,1.0
453,nobiletin from citrus peels,dementia,"Previously, we identified nobiletin from citrus peels as a natural compound possessing anti-dementia activity.",DOID:1307,0.0,1.0
454,apium graveolens,hypertension,"Apium graveolens L. is a traditional Chinese medicine prescribed as a treatment for hypertension, gout, and diabetes.",DOID:10763,0.0,1.0
455,mediterranean diet,stroke,The Mediterranean diet (MD) has been shown to lower stroke risk.,DOID:6713,0.0,1.0
456,milk,allergy,"Although soy is considered a major food allergen (along with milk, egg, peanut, fish, and wheat), the prevalence of soy allergy in the pediatric population is not well defined.",,1.0,0.0
457,cheese,cvd,"In subgroup analysis, cheese and yogurt consumptions were associated with decreased CVD risk (OR = 0.87, 95% CI = 0.80-0.94 for cheese and OR = 0.",,0.0,1.0
458,diet,hyperuricemia,"Although several individual nutrients/foods are associated with uric acid status, the association of overall diet quality with hyperuricemia remains unclear.",DOID:1920,0.0,0.0
459,garlic,ailments,"Garlic (Allium sativum) is a popular spice, a remedy for a variety of ailments and is also known for its medicinal uses as an antibiotic, antithrombotic and antineoplastic agent.",,0.0,1.0
460,wheat flour,baker's asthma,Sensitization to wheat flour plays an important role in the development and diagnosis of baker's asthma.,,1.0,0.0
461,cocoa,diabetic,Epidemiological and animal studies suggest that cocoa might reduce the risk of diabetic complications.,,0.0,1.0
462,salt,diet- associated health diseases,"In terms of nutrition, a diet high in fat (particularly saturated fat), salt and sugars have shown to be associated with innumerable incidence of diet- associated health diseases.",,1.0,0.0
463,hydrolyzed wheat products,allergy,There are several reports describing allergy to hydrolyzed wheat products.,,1.0,0.0
464,chicken respiratory tract,infectious bronchitis,Infectious bronchitis (IB) is a viral infection of the chicken respiratory tract that causes substantial economic burden on the industry.,,0.0,0.0
